id,store_id,product_id,status,verified_at,notes
sp_osm_node_667451730_pr_anchor_001,osm_node_667451730,pr_anchor_001,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_002,osm_node_667451730,pr_anchor_002,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_003,osm_node_667451730,pr_anchor_003,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_004,osm_node_667451730,pr_anchor_004,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_005,osm_node_667451730,pr_anchor_005,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_006,osm_node_667451730,pr_anchor_006,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_007,osm_node_667451730,pr_anchor_007,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_008,osm_node_667451730,pr_anchor_008,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_009,osm_node_667451730,pr_anchor_009,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_010,osm_node_667451730,pr_anchor_010,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_011,osm_node_667451730,pr_anchor_011,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_012,osm_node_667451730,pr_anchor_012,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_013,osm_node_667451730,pr_anchor_013,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_014,osm_node_667451730,pr_anchor_014,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_015,osm_node_667451730,pr_anchor_015,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_016,osm_node_667451730,pr_anchor_016,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_017,osm_node_667451730,pr_anchor_017,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
sp_osm_node_667451730_pr_anchor_018,osm_node_667451730,pr_anchor_018,known_in_area,2026-04-11T14:30:49.615Z,pending-verification
